DesignID,k,family,nc,rf,ra,alpha,N,D_reg,A_reg,G_reg,D_scaled,A_scaled,G_scaled,Deff_reg,Aeff_reg,Geff_reg,Deff_scaled,Aeff_scaled,Geff_scaled
SCCD_k7_nc5_rf2_ra2,7,SCCD,5,2,2,2.6457513110645907,97,41.96735578449474,300.59406548146967,473.5068809498241,63.07795469001297,3.3096788728584547,4.6637532158066515,0.5490393549669613,0.9989736910550826,0.7296099314930733,0.5088913045634256,0.4307937158409887,0.36178282573587583
SCCD_k8_nc5_rf2_ra2,8,SCCD,5,2,2,2.8284271247461903,101,20.167819121762072,800.5916363061312,641.7089343775397,47.637812961466594,7.435597893473526,6.7836250884507505,0.5256460803704404,0.9995824641756608,0.8226454989770914,0.42121269576169396,0.31067425218577616,0.2534576973401095
SCCD_k9_nc5_rf2_ra2,9,SCCD,5,2,2,3,105,9.543613295084901,1500.5601509381959,886.6699903196615,35.93113296566245,12.63882621260526,6.869906641066881,0.5052115021426153,0.9997718811724726,0.9285608002606405,0.3212908503611765,0.2070595310509889,0.22364863056075535
SCCD_k10_nc5_rf2_ra2,10,SCCD,5,2,2,3.1622776601683795,109,4.634532581722503,2400.4984849422285,1225.7627647669703,27.56630284259719,18.718764736650286,9.576901501609854,0.486960424405832,0.9998603302867461,0.894912404666405,0.22450483917306507,0.12945595300002816,0.13394683346816427
FCCD_k3_nc7_rf2_ra2,3,FCCD,7,2,2,1,35,14.178179659692868,0.976219182965553,0.35266943642710047,14.443653421463074,0.9465582545754644,0.343039624752337,0.3925579887875302,0.38359835960230215,0.5428934280798883,0.3929831810467458,0.38325855687807026,0.5410586100288757
FCCD_k4_nc7_rf2_ra2,4,FCCD,7,2,2,1,55,22.85408664012886,1.1366569822843802,0.3365848427819561,23.444333495338938,1.0716550423405675,0.3377312068597037,0.36643740932187474,0.2991956841220655,0.43174000132392687,0.36918857882428485,0.3037264479500538,0.4606435453203175
FCCD_k5_nc7_rf2_ra2,5,FCCD,7,2,2,1,91,39.12667983050694,1.2924216269157793,0.3426554766939557,40.65508014488053,1.1462897770202753,0.31706895603679097,0.3367303986435844,0.2160925376538432,0.3177000792154819,0.3431875686522795,0.22699257755735253,0.33926469531785336
FCCD_k6_nc7_rf2_ra2,6,FCCD,7,2,2,1,159,69.68792076941244,1.4606298021948267,0.3762712717403889,73.98854999699574,1.1510126827727913,0.2940586346604139,0.3124728365060196,0.14028515098224725,0.19496764018728566,0.32524462335287907,0.16128748920801209,0.25791699861781997
FCCD_k7_nc7_rf2_ra2,7,FCCD,7,2,2,1,99,21.482754364915984,301.90144852951454,450.1258733154679,31.488143493551902,6.196045695772767,7.208258697955602,0.2810488623585115,0.9946476393733513,0.7675082536950187,0.254035542202687,0.23011270895756125,0.2340739820322832
FCCD_k8_nc7_rf2_ra2,8,FCCD,7,2,2,1,103,10.258672266701286,802.1567388393861,736.4283343557946,22.267436418811887,13.976424626264393,9.180818747651795,0.26737798639704047,0.9976321607360338,0.7168368487354019,0.19688827716034427,0.1652818139746551,0.1872776319625186
FCCD_k9_nc7_rf2_ra2,9,FCCD,7,2,2,1,107,4.861870863402762,1502.3835688746065,876.847989026954,15.65652468053175,24.797316731717828,14.696778363380316,0.25737349221684624,0.9985584746774759,0.938962061932733,0.13999831658845804,0.105535185799746,0.10454299400630399
FCCD_k10_nc7_rf2_ra2,10,FCCD,7,2,2,1,111,2.376040771307373,2402.58068886936,1138.4842015326249,11.1594483616511,38.670663848604534,18.951497276590242,0.24965577477316295,0.9989937982630971,0.96351824811573,0.090884518464376,0.06266392367747856,0.06768835263278725
RCCD_k3_nc7_rf2_ra2,3,RCCD,7,2,2,1.681792830507429,35,23.355539089576133,0.5639441538438474,0.3236645324242855,23.74686167396068,0.5479573240036304,0.3093731519663444,0.6466558946292235,0.6640304268524714,0.5915443310604299,0.646105037846084,0.6620525627780713,0.5999374586115275
RCCD_k4_nc7_rf2_ra2,4,RCCD,7,2,2,2,55,41.71882526984591,0.5010825488213831,0.23407937107654953,42.46052023327533,0.4808609915501658,0.2593004238697141,0.6689104882009015,0.6786962831306348,0.6208028490506038,0.6686451173448504,0.6768899643711448,0.5999747249596927
RCCD_k5_nc7_rf2_ra2,5,RCCD,7,2,2,2.378414230005442,91,77.64268060903264,0.4109432324347347,0.16699121872902603,79.12722941413269,0.3845258077665893,0.1601140892617196,0.6682051967223441,0.6796137447604629,0.6519005784725515,0.667948049298013,0.6766757025354682,0.6718353347951738
RCCD_k6_nc7_rf2_ra2,6,RCCD,7,2,2,2.8284271247461903,159,148.88621194130624,0.3024078089767298,0.11929382070676467,151.82134004618123,0.2753186302751752,0.11869965252545105,0.6675891093934931,0.6775773185997276,0.6149582726654386,0.6673880561553727,0.6742876261786366,0.6389464404961601
RCCD_k7_nc7_rf2_ra2,7,RCCD,7,2,2,3.363585661014858,99,52.75322186672202,300.42569179468774,471.38156394791326,82.69086727778327,2.136649052200666,2.307388906962699,0.6901458136858589,0.9995335662187422,0.732899522157541,0.6671215566717601,0.6673013794242912,0.7312446600821699
RCCD_k8_nc7_rf2_ra2,8,RCCD,7,2,2,4,103,27.502710830521554,800.3848674015516,693.73836322313,75.42592331202269,3.4641239309187766,3.0677702874529804,0.7168198038837937,0.9998406931597065,0.7609482111763773,0.6669146737334555,0.6668493567712326,0.5604598237258586
RCCD_k9_nc7_rf2_ra2,9,RCCD,7,2,2,4.756828460010884,107,14.069779212486496,1500.3261996348137,968.4948590327122,74.57156014409377,3.925028680711922,2.5536709186537694,0.7448137378340843,0.9999277792263372,0.8501098256738504,0.6668078068774521,0.6667440269869114,0.6016613969840803
RCCD_k10_nc7_rf2_ra2,10,RCCD,7,2,2,5.656854249492381,111,7.354040616453376,2400.2444927853026,1414.725010757518,81.86860394387318,3.634648697965828,1.8304834940571333,0.7727050520281109,0.9999661347923612,0.7753805828178478,0.6667523703374845,0.6667096958565998,0.7007960654886456
SCCD_k3_nc7_rf2_ra2,3,SCCD,7,2,2,1.7320508075688772,35,24.200341838402075,0.5520337286796186,0.3100950626884258,24.615750674888197,0.5357349206781418,0.28804260854415414,0.6700463492546569,0.6783572411301317,0.617429757381484,0.6697457853493175,0.6771568114141396,0.6443648857765263
SCCD_k4_nc7_rf2_ra2,4,SCCD,7,2,2,2,55,41.71882526984591,0.5010825488213831,0.24061457540952919,42.46052023327533,0.4808609915501658,0.21736801689942412,0.6689104882009015,0.6786962831306348,0.6039415535029985,0.6686451173448504,0.6768899643711448,0.715715691352823
SCCD_k5_nc7_rf2_ra2,5,SCCD,7,2,2,2.23606797749979,91,73.18937203697806,0.42925304984431123,0.15378351617882266,74.5456557126882,0.40242837174371043,0.16266867988376638,0.6298793183895338,0.6506247752467555,0.7078890819657279,0.6292729530100045,0.6465728795065798,0.6612846605839259
SCCD_k6_nc7_rf2_ra2,6,SCCD,7,2,2,2.449489742783178,159,131.15176092978513,0.3588545534535906,0.1387766684261017,133.77885015379462,0.32080829740082406,0.11143363622121841,0.5880698160889445,0.5709964395270543,0.5286243195883965,0.5880754756326338,0.5786756363693876,0.6806088631865587
SCCD_k7_nc7_rf2_ra2,7,SCCD,7,2,2,2.6457513110645907,99,42.36067344662826,300.52901474746363,411.831816638039,63.57022006962801,3.2638073119611297,4.2358438994354906,0.5541849466173814,0.9991899229949852,0.8388747760956505,0.5128627328136723,0.43684835641304837,0.3983304996612764
SCCD_k8_nc7_rf2_ra2,8,SCCD,7,2,2,2.8284271247461903,103,20.31889261408982,800.5275980139043,681.1701040139368,47.93387037611204,7.389992951715929,5.848677963332063,0.5295836002683785,0.9996624258835453,0.7749884550251311,0.42383043016154803,0.3125914774482478,0.29397446830151375
SCCD_k9_nc7_rf2_ra2,9,SCCD,7,2,2,3,107,9.602066357014817,1500.49690019385,945.362568164851,36.11287599544455,12.593627359728956,7.321323282651272,0.5083058395082813,0.9998140247554764,0.8709113556046241,0.32291596952014395,0.2078026730396535,0.20985894940544864
SCCD_k10_nc7_rf2_ra2,10,SCCD,7,2,2,3.1622776601683795,111,4.65817577489438,2400.4358642948405,1212.648051037584,27.68179698263675,18.674129662277107,9.350716601608335,0.48944466616662824,0.9998864138418669,0.9045908270165951,0.22544544384838433,0.1297653797949957,0.13718687938382232
FCCD_k3_nc10_rf2_ra2,3,FCCD,10,2,2,1,38,14.499629944215606,0.9519317939088475,0.3664727626837198,14.768439381149715,0.9228840998758969,0.3420047455457482,0.4014581353660197,0.39338540806605715,0.5224451550473066,0.4018199632563848,0.3930900431575332,0.5426958104255287
FCCD_k4_nc10_rf2_ra2,4,FCCD,10,2,2,1,58,23.12143513933445,1.1234612480520838,0.3373440118588694,23.714891980636533,1.0587980724030237,0.32678980111161354,0.3707240164822314,0.30270991902600214,0.4307684006825947,0.3734491863052239,0.30741459388865394,0.4760665723469992
FCCD_k5_nc10_rf2_ra2,5,FCCD,10,2,2,1,94,39.392249203584434,1.2841999806908868,0.3496736679116707,40.92398288422912,1.1383993070792786,0.3257659452070172,0.33901593069617086,0.2174759953887307,0.3113236199323634,0.34545749597728076,0.22856590784568598,0.33020732936407193
