DesignID,lambda,lambda_eff,Dcrit,Acrit,Gcrit
FCCD_k9_nc7_rf1_ra2,1e-7,3.409090909090909e-6,0.3761598634487779,4400002.733863452,7381256.750858742
FCCD_k10_nc7_rf1_ra2,1e-7,3.392424242424242e-6,0.09372723134169449,7074589.75506156,9273629.83420521
RCCD_k3_nc7_rf1_ra2,1e-7,2.2894112549695427e-6,16.487302934606902,0.804056971688917,0.5807971678852172
RCCD_k4_nc7_rf1_ra2,1e-7,3.886666666666666e-6,27.610732721128837,0.7332586931056229,0.5195866135104391
RCCD_k5_nc7_rf1_ra2,1e-7,6.9149384999516556e-6,48.943644496214745,0.6028124423321423,0.41435118963131656
RCCD_k6_nc7_rf1_ra2,1e-7,9.48214285714286e-6,56.315521794852636,0.7221076700190846,0.5574605338437298
RCCD_k7_nc7_rf1_ra2,1e-7,1.4132732883254368e-5,19.945717607319185,212273.89382421202,1034608.0482097873
RCCD_k8_nc7_rf1_ra2,1e-7,2.2628888888888887e-5,6.436156773707505,353531.07317011966,889570.2917081624
RCCD_k9_nc7_rf1_ra2,1e-7,3.827197638532163e-5,2.257861617467667,391932.26273687294,657494.1699784856
RCCD_k10_nc7_rf1_ra2,1e-7,6.727121212121214e-5,0.923406103631267,356765.2238352995,466412.113494446
SCCD_k3_nc7_rf1_ra2,1e-7,2.43e-6,17.17202480389839,0.7876981841218351,0.565487619363592
SCCD_k4_nc7_rf1_ra2,1e-7,3.886666666666666e-6,27.610732721128837,0.7332586931056229,0.5271106169817876
SCCD_k5_nc7_rf1_ra2,1e-7,6.185714285714287e-6,45.86741502220282,0.6239283138737878,0.42048166343496074
SCCD_k6_nc7_rf1_ra2,1e-7,6.910714285714286e-6,48.61524720463682,0.7802576273837215,0.5819904418764896
SCCD_k7_nc7_rf1_ra2,1e-7,7.652777777777778e-6,14.977860537919497,392015.3477335318,1949820.2732578155
SCCD_k8_nc7_rf1_ra2,1e-7,8.406666666666669e-6,3.909365411405612,951626.5196584737,2366358.7298595808
SCCD_k9_nc7_rf1_ra2,1e-7,9.169090909090909e-6,1.0197116714103385,1635931.7560920182,2851983.497692815
SCCD_k10_nc7_rf1_ra2,1e-7,9.93787878787879e-6,0.28437731166799635,2415002.926442451,3254104.800488968
FCCD_k3_nc10_rf1_ra2,1e-7,1.26e-6,9.465846418069464,1.2671566006463304,1.8157724237347814
FCCD_k4_nc10_rf1_ra2,1e-7,1.9866666666666666e-6,14.308717653302976,1.412579166830795,3.1908314264363478
FCCD_k5_nc10_rf1_ra2,1e-7,3.5333333333333335e-6,23.540283553024654,1.512667772531346,4.934309000749901
FCCD_k6_nc10_rf1_ra2,1e-7,3.492857142857143e-6,23.984418217417115,1.936190693961502,6.566262798167065
FCCD_k7_nc10_rf1_ra2,1e-7,3.461111111111111e-6,6.794647799471798,866775.9292787923,4359378.743120523
FCCD_k8_nc10_rf1_ra2,1e-7,3.4355555555555554e-6,1.6083513572659118,2328592.4265860175,5939186.5848140335
FCCD_k9_nc10_rf1_ra2,1e-7,3.4145454545454545e-6,0.3768861796593786,4392973.976881736,7950581.355946133
FCCD_k10_nc10_rf1_ra2,1e-7,3.396969696969697e-6,0.09387823054045352,7065123.302141052,9719679.183724908
RCCD_k3_nc10_rf1_ra2,1e-7,2.3194112549695424e-6,17.084747469971205,0.7461434432151582,0.5801355819404689
RCCD_k4_nc10_rf1_ra2,1e-7,3.906666666666667e-6,28.275137373308446,0.6796873275096582,0.5270075217270884
RCCD_k5_nc10_rf1_ra2,1e-7,6.92922421423737e-6,49.762992629674294,0.5545201774473165,0.4151552857014869
RCCD_k6_nc10_rf1_ra2,1e-7,9.492857142857146e-6,56.94991734152741,0.6849957430669947,0.5641101853651184
RCCD_k7_nc10_rf1_ra2,1e-7,1.41410662165877e-5,20.089618107331237,212148.77736491128,1007960.8793287649
RCCD_k8_nc10_rf1_ra2,1e-7,2.2635555555555555e-5,6.465455256592393,353426.9364894482,896340.7897205753
RCCD_k9_nc10_rf1_ra2,1e-7,3.827743093077618e-5,2.264567991383456,391876.4034246492,649302.7816942033
RCCD_k10_nc10_rf1_ra2,1e-7,6.72757575757576e-5,0.9252965454189792,356741.11321459676,489526.00532836275
SCCD_k3_nc10_rf1_ra2,1e-7,2.46e-6,17.79556159303581,0.7305553708468132,0.568895364499355
SCCD_k4_nc10_rf1_ra2,1e-7,3.906666666666667e-6,28.275137373308446,0.6796873275096582,0.5253054784671819
SCCD_k5_nc10_rf1_ra2,1e-7,6.200000000000001e-6,46.6531038059559,0.5724998351831464,0.41941657125615106
SCCD_k6_nc10_rf1_ra2,1e-7,6.921428571428571e-6,49.238487748192476,0.730257725252163,0.5787477159676129
SCCD_k7_nc10_rf1_ra2,1e-7,7.661111111111112e-6,15.128365151935997,391588.88670289714,2277700.670545738
SCCD_k8_nc10_rf1_ra2,1e-7,8.413333333333335e-6,3.941029914161093,950872.4096358048,2341444.4222054393
SCCD_k9_nc10_rf1_ra2,1e-7,9.174545454545455e-6,1.0265124603791693,1634959.098533088,2972679.670466329
SCCD_k10_nc10_rf1_ra2,1e-7,9.942424242424245e-6,0.28596583966828515,2413898.7931609545,3434207.4372566855
FCCD_k3_nc1_rf2_ra2,1e-7,1.9699999999999998e-6,13.207242667564193,1.1004866054189966,1.6440328268949311
FCCD_k4_nc1_rf2_ra2,1e-7,3.5266666666666662e-6,22.11687582028421,1.1895760858137856,2.9974608833105214
FCCD_k5_nc1_rf2_ra2,1e-7,6.690476190476189e-6,38.42971475862345,1.3223115979713604,4.54026664828472
FCCD_k6_nc1_rf2_ra2,1e-7,6.660714285714286e-6,40.23793650834356,1.642879215272689,6.781778228975434
