DesignID,k,family,nc,rf,ra,alpha,N
FCCD_k9_nc3_rf3_ra1,9,FCCD,3,3,1,1,117
FCCD_k10_nc3_rf3_ra1,10,FCCD,3,3,1,1,119
RCCD_k3_nc3_rf3_ra1,3,RCCD,3,3,1,1.681792830507429,33
RCCD_k4_nc3_rf3_ra1,4,RCCD,3,3,1,2,59
RCCD_k5_nc3_rf3_ra1,5,RCCD,3,3,1,2.378414230005442,109
RCCD_k6_nc3_rf3_ra1,6,RCCD,3,3,1,2.8284271247461903,207
RCCD_k7_nc3_rf3_ra1,7,RCCD,3,3,1,3.363585661014858,113
RCCD_k8_nc3_rf3_ra1,8,RCCD,3,3,1,4,115
RCCD_k9_nc3_rf3_ra1,9,RCCD,3,3,1,4.756828460010884,117
RCCD_k10_nc3_rf3_ra1,10,RCCD,3,3,1,5.656854249492381,119
SCCD_k3_nc3_rf3_ra1,3,SCCD,3,3,1,1.7320508075688772,33
SCCD_k4_nc3_rf3_ra1,4,SCCD,3,3,1,2,59
SCCD_k5_nc3_rf3_ra1,5,SCCD,3,3,1,2.23606797749979,109
SCCD_k6_nc3_rf3_ra1,6,SCCD,3,3,1,2.449489742783178,207
SCCD_k7_nc3_rf3_ra1,7,SCCD,3,3,1,2.6457513110645907,113
SCCD_k8_nc3_rf3_ra1,8,SCCD,3,3,1,2.8284271247461903,115
SCCD_k9_nc3_rf3_ra1,9,SCCD,3,3,1,3,117
SCCD_k10_nc3_rf3_ra1,10,SCCD,3,3,1,3.1622776601683795,119
FCCD_k3_nc5_rf3_ra1,3,FCCD,5,3,1,1,35
FCCD_k4_nc5_rf3_ra1,4,FCCD,5,3,1,1,61
FCCD_k5_nc5_rf3_ra1,5,FCCD,5,3,1,1,111
FCCD_k6_nc5_rf3_ra1,6,FCCD,5,3,1,1,209
FCCD_k7_nc5_rf3_ra1,7,FCCD,5,3,1,1,115
FCCD_k8_nc5_rf3_ra1,8,FCCD,5,3,1,1,117
FCCD_k9_nc5_rf3_ra1,9,FCCD,5,3,1,1,119
FCCD_k10_nc5_rf3_ra1,10,FCCD,5,3,1,1,121
RCCD_k3_nc5_rf3_ra1,3,RCCD,5,3,1,1.681792830507429,35
RCCD_k4_nc5_rf3_ra1,4,RCCD,5,3,1,2,61
RCCD_k5_nc5_rf3_ra1,5,RCCD,5,3,1,2.378414230005442,111
RCCD_k6_nc5_rf3_ra1,6,RCCD,5,3,1,2.8284271247461903,209
RCCD_k7_nc5_rf3_ra1,7,RCCD,5,3,1,3.363585661014858,115
RCCD_k8_nc5_rf3_ra1,8,RCCD,5,3,1,4,117
RCCD_k9_nc5_rf3_ra1,9,RCCD,5,3,1,4.756828460010884,119
RCCD_k10_nc5_rf3_ra1,10,RCCD,5,3,1,5.656854249492381,121
SCCD_k3_nc5_rf3_ra1,3,SCCD,5,3,1,1.7320508075688772,35
SCCD_k4_nc5_rf3_ra1,4,SCCD,5,3,1,2,61
SCCD_k5_nc5_rf3_ra1,5,SCCD,5,3,1,2.23606797749979,111
SCCD_k6_nc5_rf3_ra1,6,SCCD,5,3,1,2.449489742783178,209
SCCD_k7_nc5_rf3_ra1,7,SCCD,5,3,1,2.6457513110645907,115
SCCD_k8_nc5_rf3_ra1,8,SCCD,5,3,1,2.8284271247461903,117
SCCD_k9_nc5_rf3_ra1,9,SCCD,5,3,1,3,119
SCCD_k10_nc5_rf3_ra1,10,SCCD,5,3,1,3.1622776601683795,121
FCCD_k3_nc7_rf3_ra1,3,FCCD,7,3,1,1,37
FCCD_k4_nc7_rf3_ra1,4,FCCD,7,3,1,1,63
FCCD_k5_nc7_rf3_ra1,5,FCCD,7,3,1,1,113
FCCD_k6_nc7_rf3_ra1,6,FCCD,7,3,1,1,211
FCCD_k7_nc7_rf3_ra1,7,FCCD,7,3,1,1,117
FCCD_k8_nc7_rf3_ra1,8,FCCD,7,3,1,1,119
FCCD_k9_nc7_rf3_ra1,9,FCCD,7,3,1,1,121
FCCD_k10_nc7_rf3_ra1,10,FCCD,7,3,1,1,123
RCCD_k3_nc7_rf3_ra1,3,RCCD,7,3,1,1.681792830507429,37
RCCD_k4_nc7_rf3_ra1,4,RCCD,7,3,1,2,63
RCCD_k5_nc7_rf3_ra1,5,RCCD,7,3,1,2.378414230005442,113
RCCD_k6_nc7_rf3_ra1,6,RCCD,7,3,1,2.8284271247461903,211
RCCD_k7_nc7_rf3_ra1,7,RCCD,7,3,1,3.363585661014858,117
RCCD_k8_nc7_rf3_ra1,8,RCCD,7,3,1,4,119
RCCD_k9_nc7_rf3_ra1,9,RCCD,7,3,1,4.756828460010884,121
RCCD_k10_nc7_rf3_ra1,10,RCCD,7,3,1,5.656854249492381,123
SCCD_k3_nc7_rf3_ra1,3,SCCD,7,3,1,1.7320508075688772,37
SCCD_k4_nc7_rf3_ra1,4,SCCD,7,3,1,2,63
SCCD_k5_nc7_rf3_ra1,5,SCCD,7,3,1,2.23606797749979,113
SCCD_k6_nc7_rf3_ra1,6,SCCD,7,3,1,2.449489742783178,211
SCCD_k7_nc7_rf3_ra1,7,SCCD,7,3,1,2.6457513110645907,117
SCCD_k8_nc7_rf3_ra1,8,SCCD,7,3,1,2.8284271247461903,119
SCCD_k9_nc7_rf3_ra1,9,SCCD,7,3,1,3,121
SCCD_k10_nc7_rf3_ra1,10,SCCD,7,3,1,3.1622776601683795,123
FCCD_k3_nc10_rf3_ra1,3,FCCD,10,3,1,1,40
FCCD_k4_nc10_rf3_ra1,4,FCCD,10,3,1,1,66
FCCD_k5_nc10_rf3_ra1,5,FCCD,10,3,1,1,116
FCCD_k6_nc10_rf3_ra1,6,FCCD,10,3,1,1,214
FCCD_k7_nc10_rf3_ra1,7,FCCD,10,3,1,1,120
FCCD_k8_nc10_rf3_ra1,8,FCCD,10,3,1,1,122
FCCD_k9_nc10_rf3_ra1,9,FCCD,10,3,1,1,124
FCCD_k10_nc10_rf3_ra1,10,FCCD,10,3,1,1,126
RCCD_k3_nc10_rf3_ra1,3,RCCD,10,3,1,1.681792830507429,40
RCCD_k4_nc10_rf3_ra1,4,RCCD,10,3,1,2,66
