DesignID,k,family,nc,rf,ra,alpha,N,Dcritical,Acritical,Gcritical,Defficiency,Aefficiency,Gefficiency
RCCD_k4_nc10_rf1_ra1,4,RCCD,10,1,1,2,34,22.364150286921248,0.7708333333333333,0.47841603972279534,0.3586632082417822,0.44144144144144143,0.3194171216642082
RCCD_k5_nc10_rf1_ra1,5,RCCD,10,1,1,2.378414230005442,52,40.759990328324605,0.6121507698236479,0.30088526758561485,0.3508335943552711,0.45647085941838866,0.3801245888501928
RCCD_k6_nc10_rf1_ra1,6,RCCD,10,1,1,2.8284271247461903,86,76.84951726358993,0.4546164772727272,0.21767248868073963,0.3446098564168688,0.4509031040822948,0.3481802891366326
SCCD_k3_nc10_rf1_ra1,3,SCCD,10,1,1,1.7320508075688772,24,13.432128468564127,0.8575396825396825,0.5732488893935083,0.37204105801130133,0.43698904828011725,0.3375625629920592
SCCD_k4_nc10_rf1_ra1,4,SCCD,10,1,1,2,34,22.364150286921248,0.7708333333333333,0.4660423044753726,0.3586632082417822,0.44144144144144143,0.3278978601272453
SCCD_k5_nc10_rf1_ra1,5,SCCD,10,1,1,2.23606797749979,52,38.46274398347918,0.6363095238095238,0.3326420121955815,0.33106049858685616,0.4391400372606627,0.34383476662236634
SCCD_k6_nc10_rf1_ra1,6,SCCD,10,1,1,2.449489742783178,86,68.07250487822972,0.5016264619883042,0.23559760593792375,0.30525183458943583,0.40864666500390917,0.32168947449287577
FCCD_k3_nc1_rf2_ra1,3,FCCD,1,2,1,1,23,10.54546526885841,1.7642790262172283,0.5344488641205051,0.2920866983240605,0.2124014649422637,0.36206899729212066
FCCD_k4_nc1_rf2_ra1,4,FCCD,1,2,1,1,41,18.221355517553626,2.047356690551575,0.6149737961301737,0.292223480194631,0.16620346583872692,0.24848908250701798
FCCD_k5_nc1_rf2_ra1,5,FCCD,1,2,1,1,75,32.4602453000377,2.3995181242807826,0.6379362222708893,0.27939517258305785,0.11645212643633737,0.1792873403941861
FCCD_k6_nc1_rf2_ra1,6,FCCD,1,2,1,1,141,59.333888891839806,2.7903985288595643,0.6753443693598318,0.2660659905193555,0.07346190110450256,0.11222314641905139
RCCD_k3_nc1_rf2_ra1,3,RCCD,1,2,1,1.681792830507429,23,15.275349794793,1.7906813621076265,0.9821844070962473,0.4230943228727928,0.20926975489061173,0.19701734515223446
